ID: 298, Name: Scene Mesh Test, Type: 3d_model, Status: pending, Path: C:\Users\cgrub\OneDrive\Documents\NewGeovisor-1\backend\uploads\scene_mesh_textured.obj
ID: 297, Name: HospitalBosaJun252021_Orthomosaic_export_WedOct26181641290011, Type: raster, Status: cancelled, Path: uploads\HospitalBosaJun252021_Orthomosaic_export_WedOct26181641290011.tif
ID: 296, Name: OrtofotoDic302021_Orthomosaic_export_WedOct26183953035306, Type: raster, Status: completed, Path: uploads\OrtofotoDic302021_Orthomosaic_export_WedOct26183953035306_1.tif
ID: 273, Name: Map1_Orthomosaic-4-12_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-4-12_export_MonOct30144115413987.tif
ID: 272, Name: Map1_Orthomosaic-2-17_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-2-17_export_MonOct30144115413987.tif
ID: 271, Name: Map1_Orthomosaic-8-22_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-8-22_export_MonOct30144115413987.tif
ID: 270, Name: Map1_Orthomosaic-5-18_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-5-18_export_MonOct30144115413987.tif
ID: 269, Name: Map1_Orthomosaic-5-15_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-5-15_export_MonOct30144115413987.tif
ID: 268, Name: Map1_Orthomosaic-5-14_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-5-14_export_MonOct30144115413987.tif
ID: 267, Name: Map1_Orthomosaic-3-15_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-3-15_export_MonOct30144115413987.tif
ID: 266, Name: Map1_Orthomosaic-1-7_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-1-7_export_MonOct30144115413987.tif
ID: 265, Name: Map1_Orthomosaic-6-18_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-6-18_export_MonOct30144115413987.tif
ID: 264, Name: Map1_Orthomosaic-2-13_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-2-13_export_MonOct30144115413987.tif
ID: 263, Name: Map1_Orthomosaic-2-12_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-2-12_export_MonOct30144115413987.tif
ID: 262, Name: Map1_Orthomosaic-1-3_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-1-3_export_MonOct30144115413987.tif
ID: 261, Name: Map1_Orthomosaic-1-2_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-1-2_export_MonOct30144115413987.tif
ID: 260, Name: Map1_Orthomosaic-0-4_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-0-4_export_MonOct30144115413987.tif
ID: 259, Name: Map1_Orthomosaic-0-3_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-0-3_export_MonOct30144115413987.tif
ID: 258, Name: Map1_Orthomosaic-9-22_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-9-22_export_MonOct30144115413987.tif
ID: 257, Name: Map1_Orthomosaic-7-21_export_MonOct30144115413987, Type: raster, Status: completed, Path: uploads\Map1_Orthomosaic-7-21_export_MonOct30144115413987.tif
